SYMBOL,ENTREZID
CEACAM5,1048
RASAL2,9462
TP53,7157
BRCA1,672
MYC,4609
NFKB1,4790
NOTCH1,4851
NOTCH2,4853
NOTCH3,4854
CDKN2A,1029
RB1,5925
PTEN,5728
KMT2C,58508
PIK3CA,5290
AKT1,207
ERBB2,2064
FLG,2312
MUC17,140453
AKAP9,10142
XIRP2,129446
ERBB3,2065
BRCA2,675
CDH11,1009
HLF,3131
ERBB4,2066
MXRA5,25878
FGFR2,2263
KDM5A,5927
ERG,2078
HLA-A,3105
NF1,4763
TPR,7175
CARD11,84433
TRAF7,84231
FRMD7,90167
ITPKB,3707
ATM,472
TRIM23,373
BCL9,607
RANBP17,64901
CIITA,4261
NAV3,89795
TAF1,6872
IL6ST,3572
TPM3,7170
KMT2D,8085
PMS1,5378
SLC34A2,10568
CAMTA1,23261
CBLB,868
MYB,4602
PTCH1,5727
AFF3,3899
SIN3A,25942
CD79A,973
KIAA1549,57670
NFE2L3,9603
EPHA3,2042
FOXA1,3169
MECOM,2122
BUB1,699
BUB1B,701
KIFC1,3833
MASTL,84930
NUF2,83540
RAD21,5885
TTK,7272
CHEK1,1111
DTL,51514
RHNO1,83695
LIN9,286826
MYBL2,4605
FOXM1,2305
FANCL,55120
PRKDC,5591
UBE2T,29089
ING4,51147
S100A9,6280
MRPL13,28998
PFKP,5214
GABRP,2568
PTK2,5747
PSMD4,5710
SEC61G,23480
FZD6,8323
GNB4,59345
NCSTN,23385
PTP4A3,11156
SPINT2,10653
NDRG1,10397
ANKRD46,157567
GBA,2629
EGFR,1956
PARP1,142
VEGFA,7422
MET,4233
SRC,6714
AR,367
ADRB1,153
AKT3,10000
TSC1,7248
INPP4B,8821
FGFR1,2260
IGF1R,3480
BRAF,673
KRAS,3845
HRAS,3265
DUSP4,1846
CDK6,1021
CCND1,595
CCND2,894
JAK2,3717
KIT,3815
HIF1A,3091
PIM1,5292
BCL11A,53335
GLI1,2735
SMYD2,56950
MAFK,7975
UBR5,51366
CIP2A,57650
MAPK12,6300
ICAM1,3383
FOXC1,2296
SMO,6608
GLI2,2736
STAT3,6774
SYK,6850
TRAF4,9618
CDK4,1019
WNT3A,89780
CYP24A1,1591
ASAP1,50807
LINC01119,100134259
TRIM37,4591
PARP3,10039
IRF2BP2,359948
CCT5,22948
MUC16,94025
AHNAK2,113146
SYNE1,23345
AHNAK,79026
DNAH11,8701
USH2A,7399
DNAH2,146754
HERC2,8924
DNAH5,1767
RYR2,6262
UTRN,7402
BIRC6,57448
COL12A1,1303
ATR,545
NCOR2,9612
STAB2,55576
THSD7A,221981
CDH1,999
PIK3R1,5295
FAT3,120114
ATRX,546
APC,324
NCOR1,9611
CBFB,865
NRAS,4893
PGM2,55276
PRPS2,5634
PRKCE,5581
NR3C1,2908
CREBBP,1387
CS,1431
MAN2A2,4122
HMGCS2,3158
HEXA,3073
ADCY9,115
OR4N4,283694
LCLAT1,253558
DGKI,9162
CYP2A6,1548
JAK1,3716
POLR1A,25885
PLD1,5337
IDH3B,3420
PAPSS2,9060
PRKX,5613
TPH2,121278
UGT2B17,7367
RRM2,6241
CLCA1,1179
PRKCZ,5590
PALB2,79728
BARD1,580
RAD51D,5892
RAD51C,5889
BRIP1,83990
DHRS2,10202
PIP,5304
AGR2,10551
ESR1,2099
CA12,771
TOX3,27324
KRT18,3875
MUC1,4582
PGR,5241
RET,5979
ITGB5,3693
ADH1B,125
ADIPOQ,9370
OGN,4969
FABP4,2167
CD36,948
NTRK2,4915
EDNRB,1910
GHR,2690
ADRA2A,150
PLA2G2A,5320
PPARG,5468
ADRB2,154
PTGER3,5733
IL1R1,3554
TEK,7010
ELF5,2001
HORMAD1,84072
SOX10,6663
SERPINB5,5268
SOX8,30812
TUBB2B,347733
VTCN1,79679
SOX6,55553
CXCL9,4283
IDO1,3620
CXCL11,6373
RARRES1,5918
GBP5,115362
CXCL10,3627
CXCL13,10563
LAMP3,27074
STAT1,6772
PSMB9,5698
CD2,914
CTLA4,1493
TOP2A,7153
LCK,3932
LGALS2,3957
PROCR,10544
FGD5,152273
CECR2,27443
CPSF4,10898
MAPK4,5596
ADSL,158
